sample_id,variety,region,quality_score,quality_category,ripeness_index,ripeness_category,sugar_content_brix,firmness_kgf,length_cm
1,Manzano,Colombia,3.47,Processing,6.97,Overripe,22.04,4.91,29.41
2,Fehi,Colombia,1.92,Processing,3.94,Overripe,19.52,1.48,17.58
3,Burro,Honduras,1.11,Good,6.17,Ripe,20.24,4.09,18.62
4,Red Dacca,Colombia,3.08,Processing,2.66,Turning,24.04,2.58,13.61
5,Red Dacca,Ecuador,2.7,Premium,4.98,Ripe,23.15,2.36,12.62
6,Burro,Honduras,2.72,Processing,1.12,Turning,15.73,1.04,27.35
7,Burro,Costa Rica,3.68,Processing,6.16,Overripe,19.14,4.91,10.68
8,Manzano,Costa Rica,3.21,Processing,2.39,Turning,20.82,1.7,21.25
9,Manzano,Ecuador,1.01,Good,1.55,Overripe,15.65,1.15,13.08
10,Fehi,Honduras,3.05,Processing,3.9,Ripe,24.13,0.64,19.18
11,Burro,Brazil,3.53,Good,5.82,Turning,22.46,2.46,14.53
12,Plantain,Colombia,2.61,Good,1.28,Ripe,22.71,1.31,15.55
13,Plantain,Brazil,3.83,Good,6.17,Ripe,18.04,4.62,23.09
14,Burro,Guatemala,1.45,Premium,1.59,Overripe,16.07,0.54,16.01
15,Burro,Guatemala,2.98,Premium,2.87,Green,19.95,3.58,20.36
16,Fehi,Brazil,2.76,Processing,3.92,Ripe,24.7,3.03,12.38
17,Burro,Ecuador,3.14,Processing,3.71,Turning,23.09,4.95,15.64
18,Red Dacca,Honduras,3.62,Good,6.84,Turning,17.71,1.08,24.9
19,Fehi,Guatemala,3.63,Good,2.12,Turning,24.71,3.99,15.29
20,Fehi,Brazil,3.16,Processing,4.92,Ripe,15.02,1.49,22.42
21,Plantain,Colombia,2.52,Processing,5.06,Ripe,21.84,4.34,13.49
22,Fehi,Colombia,1.43,Good,1.23,Turning,24.34,3.96,21.95
23,Fehi,Colombia,2.98,Premium,4.93,Turning,15.32,3.19,18.95
24,Manzano,India,2.05,Premium,1.72,Green,18.1,2.71,24.91
25,Red Dacca,Guatemala,3.26,Processing,1.32,Green,19.15,2.29,19.4
26,Plantain,Brazil,1.82,Premium,2.99,Ripe,20.56,3.94,10.09
27,Plantain,India,2.43,Processing,4.93,Overripe,18.8,4.88,15.13
28,Fehi,Guatemala,1.01,Good,1.71,Ripe,21.48,4.34,11.42
29,Manzano,Colombia,3.32,Processing,6.6,Turning,21.77,4.96,20.25
30,Burro,Colombia,3.21,Good,1.66,Turning,22.1,4.43,26.03
31,Manzano,Costa Rica,2.07,Unripe,4.64,Overripe,15.61,1.82,26.24
